datetime,ax,ay,az
2026/4/18 19:52:32.6026,0.643500,0.058500,0.830700
2026/4/18 19:52:32.6126,0.631800,0.054600,0.838500
2026/4/18 19:52:32.7346,0.635700,0.058500,0.830700
2026/4/18 19:52:32.7446,0.639600,0.058500,0.830700
2026/4/18 19:52:32.7546,0.639600,0.058500,0.830700
2026/4/18 19:52:32.7646,0.635700,0.062400,0.834600
2026/4/18 19:52:32.7746,0.635700,0.058500,0.830700
2026/4/18 19:52:32.7846,0.631800,0.062400,0.838500
2026/4/18 19:52:32.7946,0.635700,0.058500,0.830700
2026/4/18 19:52:32.8046,0.635700,0.054600,0.838500
2026/4/18 19:52:32.8146,0.631800,0.058500,0.830700
2026/4/18 19:52:32.8246,0.627900,0.058500,0.838500
2026/4/18 19:52:32.8346,0.639600,0.058500,0.834600
2026/4/18 19:52:32.8446,0.635700,0.058500,0.834600
2026/4/18 19:52:32.8546,0.635700,0.058500,0.834600
2026/4/18 19:52:32.8646,0.627900,0.062400,0.834600
2026/4/18 19:52:32.8746,0.635700,0.054600,0.834600
2026/4/18 19:52:32.8846,0.635700,0.058500,0.842400
2026/4/18 19:52:32.8946,0.635700,0.050700,0.834600
2026/4/18 19:52:32.9046,0.631800,0.062400,0.838500
2026/4/18 19:52:32.9146,0.639600,0.062400,0.834600
2026/4/18 19:52:32.9246,0.635700,0.058500,0.834600
2026/4/18 19:52:33.0466,0.635700,0.062400,0.834600
2026/4/18 19:52:33.0566,0.635700,0.058500,0.842400
2026/4/18 19:52:33.0666,0.635700,0.062400,0.830700
2026/4/18 19:52:33.0766,0.631800,0.058500,0.838500
2026/4/18 19:52:33.0866,0.635700,0.058500,0.834600
2026/4/18 19:52:33.0966,0.631800,0.058500,0.834600
2026/4/18 19:52:33.1066,0.631800,0.062400,0.830700
2026/4/18 19:52:33.1166,0.635700,0.058500,0.834600
2026/4/18 19:52:33.1266,0.631800,0.062400,0.834600
2026/4/18 19:52:33.1366,0.635700,0.058500,0.834600
2026/4/18 19:52:33.1466,0.635700,0.062400,0.834600
2026/4/18 19:52:33.1566,0.631800,0.054600,0.834600
2026/4/18 19:52:33.1666,0.635700,0.054600,0.834600
2026/4/18 19:52:33.1766,0.635700,0.058500,0.834600
2026/4/18 19:52:33.1866,0.631800,0.058500,0.834600
2026/4/18 19:52:33.1966,0.635700,0.058500,0.830700
